name,brand,category,price_inr,original_price_inr,discount_percent,rating,total_reviews,image_url,myntra_url,platform
Aadvi Fashion Women Flared High-Rise Jeans,Aadvi Fashion,Clothing,812,3999,80,4.2,7800,,https://www.myntra.com/jeans/aadvi+fashion/aadvi-fashion-women-jean-flared-high-rise-low-distress-heavy-fade-stretchable-jeans/32981871/buy,myntra
glitchez Women Straight Fit Jeans,glitchez,Clothing,649,1299,50,4,808,,https://www.myntra.com/jeans/glitchez/glitchez-women-straight-fit-jeans/31422970/buy,myntra
FOREVER FRIDAY Boys Regular Fit Mid-Rise Jeans,FOREVER FRIDAY,Clothing,1187,2199,46,0,0,,https://www.myntra.com/jeans/forever+friday/forever-friday-boys-comfort-regular-fit-mid-rise-jeans/40724511/buy,myntra
V-Mart Men Skinny Fit Mid-Rise Jeans,V-Mart,Clothing,1301,1399,7,0,0,,https://www.myntra.com/jeans/v-mart/v-mart-men-skinny-fit-mid-rise-light-fade-stretchable-jeans/41512729/buy,myntra
John Pride Plus Size Men Stretchable Jean,John Pride,Clothing,1199,2499,52,4.5,633,,https://www.myntra.com/jeans/john+pride/john-pride-men-plus-size-black-stretchable-jeans/19903296/buy,myntra
Urbano Fashion Men Relaxed Fit Jeans,Urbano Fashion,Clothing,1049,2099,50,4,23400,,https://www.myntra.com/jeans/urbano+fashion/urbano-fashion-men-loose-fit-washed-non-stretchable-jeans/27661968/buy,myntra
HIGHLANDER Men Straight Fit Jeans,HIGHLANDER,Clothing,779,2999,74,4.2,4000,,https://www.myntra.com/jeans/highlander/highlander-men-straight-fit-heavy-fade-stretchable-jeans/30715726/buy,myntra
bigbanana Plus Size Jeans,bigbanana,Clothing,1439,3599,60,4.5,17,,https://www.myntra.com/jeans/bigbanana/bigbanana-men-plus-size-original-stretchable-jeans/32966667/buy,myntra
STUDIO NEXX Men Mid-Rise Jeans,STUDIO NEXX,Clothing,900,2499,64,4.4,1200,,https://www.myntra.com/jeans/studio+nexx/studio-nexx-men-mid-rise-jeans/36885781/buy,myntra
V-Mart Men Skinny Fit Mid-Rise Jeans,V-Mart,Clothing,1301,1399,7,0,0,,https://www.myntra.com/jeans/v-mart/v-mart-men-skinny-fit-mid-rise-light-fade-jeans/41512722/buy,myntra
Flying Machine Women Wide Leg High-Rise Jeans,Flying Machine,Clothing,1591,2349,32,4,5,,https://www.myntra.com/jeans/flying+machine/flying-machine-women-wide-leg-high-rise-light-fade-stretchable-jeans/41162699/buy,myntra
FOREVER FRIDAY Girls Regular Fit Mid-Rise Jeans,FOREVER FRIDAY,Clothing,1241,2299,46,0,0,,https://www.myntra.com/jeans/forever+friday/forever-friday-girls-comfort-regular-fit-mid-rise-jeans/40723644/buy,myntra
Pepe Jeans Men Straight Fit Mid-Rise Jeans,Pepe Jeans,Clothing,1359,3399,60,4.3,32,,https://www.myntra.com/jeans/pepe+jeans/pepe-jeans-men-holborne-straight-fit-mid-rise-light-fade-stretchable-jeans/40023137/buy,myntra
glitchez Women Baggy Wide Leg Jeans,glitchez,Clothing,647,1799,64,4.2,209,,https://www.myntra.com/jeans/glitchez/glitchez-women-baggy-wide-leg-high-rise-light-fade-panelling-frayed-jeans/31596902/buy,myntra
V-Mart Men Skinny Fit Mid-Rise Jeans,V-Mart,Clothing,1247,1299,4,0,0,,https://www.myntra.com/jeans/v-mart/v-mart-men-skinny-fit-mid-rise-stretchable-jeans/41512781/buy,myntra
glitchez Men Wide Leg Jeans,glitchez,Clothing,699,1999,65,3.9,515,,https://www.myntra.com/jeans/glitchez/glitchez-men-wide-leg-jeans/31366443/buy,myntra
Sangria Women Ethnic Motifs Embroidered Kurta,Sangria,Clothing,643,2499,74,4.3,10600,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/21731714/2023/2/1/91c84fec-acc6-47b3-be2c-bf7ad7958e041675255228053-Women-Yellow--Grey-Embroidered-Straight-Kurti-55016752552275-1.jpg",https://www.myntra.com/kurtas/sangria/sangria-women-ethnic-motifs-embroidered-thread-work-kurta/21731714/buy,myntra
Chaukas Women Printed Kurta,Chaukas,Clothing,499,1599,69,4.4,1500,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2025/NOVEMBER/29/pbc3VbO5_c233f7ca4a554ce78ad0d48577a0565a.jpg",https://www.myntra.com/kurtas/chaukas/chaukas-women-ethnic-motifs-printed-indie-prints-kurta/38293759/buy,myntra
Sangria Boys Pure Cotton Kurta,Sangria,Clothing,599,2999,80,4.4,729,"https://assets.myntassets.com/f_auto,dpr_1.0,q_85,w_720,c_limit,fl_progressive/assets/images/2025/FEBRUARY/1/CFZ7n0CQ_dff16eac68334bbba00d7d4e652d4001.jpg",https://www.myntra.com/kurtas/sangria/sangria-boys-red--white-floral-printed-mandarin-collar-pure-cotton-straight-kurta/32597461/buy,myntra
