name,brand,category,price_inr,original_price_inr,discount_percent,rating,total_reviews,image_url,ajio_url,platform
MANIAC Men Embroidery Oversized Fit T-shirt,MANIAC,Clothing,640,640,68,4.5,63,https://dummyjson.com/image/400x400/282828/ffffff?text=MANIAC%20Men%20Embr,https://www.ajio.com/maniac-men-embroidery-oversized-fit-t-shirt/p/701042777_black?,ajio
BABIRUSA Men Relaxed Fit Round-Neck T-Shirt,BABIRUSA,Clothing,169,169,83,4,371,https://dummyjson.com/image/400x400/282828/ffffff?text=BABIRUSA%20Men%20Re,https://www.ajio.com/babirusa-men-relaxed-fit-round-neck-t-shirt/p/702588303_wine?,ajio
Teamspirit Men Typographic Print Boxy Fit Crew-Neck T-Shirt,Teamspirit,Clothing,254,254,49,5,22,https://dummyjson.com/image/400x400/282828/ffffff?text=Teamspirit%20Men%20,https://www.ajio.com/teamspirit-men-typographic-print-boxy-fit-crew-neck-t-shirt/p/443113495_blue?,ajio
BABIRUSA Men Relaxed Fit Round-Neck T-Shirt,BABIRUSA,Clothing,169,169,83,4,34,https://dummyjson.com/image/400x400/282828/ffffff?text=BABIRUSA%20Men%20Re,https://www.ajio.com/babirusa-men-relaxed-fit-round-neck-t-shirt/p/702588303_brown?,ajio
The Indian Garage Co Typographic Print Slim Fit Polo T-Shirt,The Indian Garage Co,Clothing,420,420,70,4.5,244,https://dummyjson.com/image/400x400/282828/ffffff?text=The%20Indian%20Gara,https://www.ajio.com/the-indian-garage-co-typographic-print-slim-fit-polo-t-shirt/p/469194741_black?,ajio
MAX Men Round Neck Stylised Fit T-Shirt,MAX,Clothing,349,349,13,4.5,91,https://dummyjson.com/image/400x400/282828/ffffff?text=MAX%20Men%20Round%20N,https://www.ajio.com/max-men-round-neck-stylised-fit-t-shirt/p/701662810_black?,ajio
Alpha Tribe Men Regular Fit Polo T-Shirt,Alpha Tribe,Clothing,304,304,80,4.5,316,https://dummyjson.com/image/400x400/282828/ffffff?text=Alpha%20Tribe%20Men,https://www.ajio.com/alpha-tribe-men-regular-fit-polo-t-shirt/p/702103422_charcoal?,ajio
JUMP CUTS Men Regular Fit Polo T-Shirt,JUMP CUTS,Clothing,406,406,71,4,14,https://dummyjson.com/image/400x400/282828/ffffff?text=JUMP%20CUTS%20Men%20R,https://www.ajio.com/jump-cuts-men-regular-fit-polo-t-shirt/p/702181416_brown?,ajio
AUSK Men Colourblock Regular Fit Polo T-Shirt,AUSK,Clothing,299,299,80,5,97,https://dummyjson.com/image/400x400/282828/ffffff?text=AUSK%20Men%20Colour,https://www.ajio.com/ausk-men-colourblock-regular-fit-polo-t-shirt/p/702811119_offwhite?,ajio
NEONOMAD Men Colour-block Regular Fit T-shirt,NEONOMAD,Clothing,319,319,68,4.5,203,https://dummyjson.com/image/400x400/282828/ffffff?text=NEONOMAD%20Men%20Co,https://www.ajio.com/neonomad-men-colour-block-regular-fit-t-shirt/p/702208586_black?,ajio
Buda Jeans Co Men Graphic Print Oversized Crew-Neck T-Shirt,Buda Jeans Co,Clothing,375,375,75,4.5,114,https://dummyjson.com/image/400x400/282828/ffffff?text=Buda%20Jeans%20Co%20M,https://www.ajio.com/buda-jeans-co-men-graphic-print-oversized-crew-neck-t-shirt/p/701783107_green?,ajio
Lee Cooper Men All-Over Print Regular Fit Polo T-Shirt,Lee Cooper,Clothing,410,410,59,5,152,https://dummyjson.com/image/400x400/282828/ffffff?text=Lee%20Cooper%20Men%20,https://www.ajio.com/lee-cooper-men-all-over-print-regular-fit-polo-t-shirt/p/443101901_offwhite?,ajio
